플랫폼,시간,질문,대응
chat,2021-01-22 10:34,채용공고 뭐가 있나요,남부발전 채용공고 내역은 아래 버튼을 눌러 확인해 주세요~
kakaoi,2021-01-22 13:39,채용공고를 알고 싶어요,남부발전 채용공고 내역은 아래 버튼을 눌러 확인해 주세요~
kakaoi,2021-01-22 13:40,지원자격이 어떻게돼,"블라인드 채용으로 입사지원 시 성별, 신체조건, 학력, 연령에 제한이 없습니다.결격사유에 해당하지 않고, 지원하는 직무에 맞는 역량을 가진 분이라면 누구나 지원이 가능 합니다.단, 전문경력직 및 일부 전문성이 요구되는 직무의 경우 별도 자격조건이 부여될 수 있습니다."
kakaoi,2021-01-22 13:46,지원자격 어떻게돼,"블라인드 채용으로 입사지원 시 성별, 신체조건, 학력, 연령에 제한이 없습니다.결격사유에 해당하지 않고, 지원하는 직무에 맞는 역량을 가진 분이라면 누구나 지원이 가능 합니다.단, 전문경력직 및 일부 전문성이 요구되는 직무의 경우 별도 자격조건이 부여될 수 있습니다."
kakaoi,2021-01-22 13:48,지원자격 어떻게돼,"블라인드 채용으로 입사지원 시 성별, 신체조건, 학력, 연령에 제한이 없습니다.결격사유에 해당하지 않고, 지원하는 직무에 맞는 역량을 가진 분이라면 누구나 지원이 가능 합니다.단, 전문경력직 및 일부 전문성이 요구되는 직무의 경우 별도 자격조건이 부여될 수 있습니다."
kakaoi,2021-01-22 13:49,채용정보 알려줘,남부발전 채용공고 내역은 아래 버튼을 눌러 확인해 주세요~
kakaoi,2021-01-28 14:30,회사주소 및 연락처,한국남부발전 조직도를 안내해 드릴게요 -> 조직도(전사)  :  kospo.co.kr/kospo/283/subview.do -> 조직도(본사)  :  kospo.co.kr/kospo/284/subview.do
kakaoi,2021-01-29 10:06,시작하기,죄송하지만.. 조금 더 제가 알아듣기 쉽게 입력해주시겠어요
kakaoi,2021-01-29 10:08,시작하기,죄송하지만.. 조금 더 제가 알아듣기 쉽게 입력해주시겠어요
kakaoi,2021-01-29 10:10,시작하기,죄송하지만.. 조금 더 제가 알아듣기 쉽게 입력해주시겠어요
kakaoi,2021-01-29 10:10,시작하기,아직 제가 학습하지 못한 내용인 거 같습니다. 다른 궁금한 점을 말해주시겠어요
kakaoi,2021-01-29 10:24,시작하기,죄송하지만.. 조금 더 제가 알아듣기 쉽게 입력해주시겠어요
